take_id,chapter,start,end,text,review_priority,machine_signal_only,pronunciation_check,human_verdict,severity,issue_type,notes,repair_authorized
T001,The feeling of sameness,00:00:00.000,00:00:07.000,Walk through almost any new part of a city and something feels strangely familiar.,RECHECK_AFTER_CONTINUOUS_PASS,active_span_rate=181.6_WPM,,,,,,NO
T002,The feeling of sameness,00:00:07.000,00:00:11.161,The cars arrive in the same narrow palette.,RECHECK_AFTER_CONTINUOUS_PASS,active_span_rate=223.2_WPM,,,,,,NO
T003,The feeling of sameness,00:00:11.161,00:00:16.000,"The cafés share pale wood, black metal, and green.",RECHECK_AFTER_CONTINUOUS_PASS,active_span_rate=179.4_WPM,,,,,,NO
T004,The feeling of sameness,00:00:16.000,00:00:23.000,"Logos use clean letters. New apartment blocks repeat grids of glass, concrete, and muted cladding.",CONTINUOUS_PASS,,,,,,,NO
T005,The feeling of sameness,00:00:23.000,00:00:30.000,It can feel as if all of it came from one invisible catalog.,RECHECK_AFTER_CONTINUOUS_PASS,active_span_rate=204.3_WPM,,,,,,NO
T006,The feeling of sameness,00:00:30.000,00:00:34.087,But the world does not literally look the same.,RECHECK_AFTER_CONTINUOUS_PASS,active_span_rate=224.6_WPM,,,,,,NO
T007,The feeling of sameness,00:00:34.087,00:00:38.000,Tokyo is not Lagos. Geneva is not Mexico City.,CONTINUOUS_PASS,,,,,,,NO
T008,The feeling of sameness,00:00:38.000,00:00:41.478,A family shop is not a global franchise.,RECHECK_AFTER_CONTINUOUS_PASS,active_span_rate=189.9_WPM,,,,,,NO
T009,The feeling of sameness,00:00:41.478,00:00:46.000,The past was never one continuous carnival of color.,CONTINUOUS_PASS,,,,,,,NO
T010,The feeling of sameness,00:00:46.000,00:00:54.000,This is not a film about a secret committee that deleted personality.,CONTINUOUS_PASS,,,,,,,NO
T011,The feeling of sameness,00:00:54.000,00:01:04.000,"Different industries, facing different problems, have begun solving them with the same visual vocabulary.",CONTINUOUS_PASS,,,,,,,NO
T012,What the evidence can—and cannot—show,00:01:04.000,00:01:11.500,Color gives us one measurable piece of the pattern.,RECHECK_AFTER_CONTINUOUS_PASS,active_span_rate=175.4_WPM,,,,,,NO
T013,What the evidence can—and cannot—show,00:01:11.500,00:01:21.000,"One museum collection grew grayer over time, while brown and yellow declined.",CONTINUOUS_PASS,,,,,,,NO
T014,What the evidence can—and cannot—show,00:01:21.000,00:01:27.000,But the researchers warn: the collection is not a random sample of the world.,RECHECK_AFTER_CONTINUOUS_PASS,active_span_rate=190.7_WPM,,,,,,NO
T015,What the evidence can—and cannot—show,00:01:27.000,00:01:36.000,They also point to a material shift: from wood toward manufactured surfaces.,CONTINUOUS_PASS,,,,,,,NO
T016,What the evidence can—and cannot—show,00:01:36.000,00:01:41.000,The car park makes the pattern easier to see.,RECHECK_AFTER_CONTINUOUS_PASS,active_span_rate=224.1_WPM,,,,,,NO
