start_s,end_s,kind,upper_safe_band_label
64.000,96.000,scope,LIMITED MUSEUM COLLECTION  /  NOT A RANDOM SAMPLE
96.000,142.000,source,SOURCE  /  AXALTA 2025 GLOBAL NEW-VEHICLE COLOR REPORT
162.000,174.000,boundary,REVIEW EVIDENCE  /  PROPOSED RELATIONSHIP - NOT A UNIVERSAL LAW
218.000,231.000,source,SOURCE  /  NIELSEN NORMAN GROUP  /  JAKOBS LAW
241.000,247.000,boundary,BOUNDARY  /  FUNCTION DOES NOT REQUIRE ONE AESTHETIC
247.000,259.000,illustration,ILLUSTRATION  /  VOCABULARY - NOT PREVALENCE DATA
259.000,273.000,source,SOURCE  /  SINTEZA 2016  /  INVENTED IDENTITY
294.000,323.000,source,SOURCE  /  McDONALDS CORPORATE HISTORY  /  COMPANY-AUTHORED
323.000,334.000,boundary,BOUNDARY  /  VARIATION EXISTS - FREQUENCY NOT MEASURED
364.000,369.000,boundary,MODEL  /  ONE CHRONOLOGY DOES NOT PROVE THE RULE
397.000,413.000,source,SOURCE  /  SPOTIFY RESEARCH (2021)  /  MUSIC RECOMMENDATIONS ONLY
413.000,430.000,boundary,EXPLANATORY MODEL  /  NOT A SPOTIFY FINDING
437.000,444.000,boundary,MODEL  /  NOT A MEASURED UNIVERSAL LAW
449.000,460.000,boundary,FIRST-PARTY CASE  /  VARIATION EXISTS - PREVALENCE NOT MEASURED
460.000,471.000,source,PRIMARY DESIGN-SYSTEM DOCUMENTATION  /  DISTINCT USABLE SYSTEMS
471.000,482.000,boundary,FIRST-PARTY NICHE CASE  /  NOT THE WHOLE CAR MARKET
496.000,507.000,illustration,MECHANISM ILLUSTRATION  /  NOT PREVALENCE EVIDENCE
527.000,535.000,boundary,BOUNDED SYNTHESIS  /  CASE-LINKED - NOT A GLOBAL ESTIMATE
574.000,589.500,boundary,BOUNDARY  /  DISTINCTIVENESS HAS RISK - NO AUTOMATIC PREMIUM
595.000,601.000,definition,DEFENSIBLE  =  USEFUL - SPECIFIC - WORTH ITS TRADE-OFFS
