id,role,chapter_anchor,source_title,organization_or_authors,publication_date,url,checked_utc,verification,claim_supported,claim_not_supported,visual_rights_note
F1,evidence,01:04,"A little greyer and a bit more rectangular?","Cath Sleeman / Creative PEC",2021-03-12,https://pec.ac.uk/blog_entries/a-little-greyer/,2026-09-12,reachable,"Rise in grey and falls in brown/yellow in a Science Museum Group collection sample; materials as possible contributor","Global prevalence; random population sample; single causal explanation","Link/attribution only; no source image reuse"
F2,evidence,01:04,"2025 Global Automotive Color Popularity Report",Axalta,2025-12-16,https://ir.axalta.com/news/press-releases/detail/673/axalta-releases-2025-global-automotive-color-popularity-report,2026-09-12,reachable,"White 29%; black 23%; grey 22%; silver 7%; Europe grey 26%","Why buyers or markets chose those colours","Link/attribution only; original evidence graphics"
F3,evidence,02:22,"Processing Fluency and Aesthetic Pleasure: Is Beauty in the Perceiver's Processing Experience?","Reber; Schwarz; Winkielman",2004,https://doi.org/10.1207/S15327957PSPR0804_3,2026-09-12,"DOI resolves; publisher page intermittently timed out in automated fetch","Proposed relationship between processing fluency and positive aesthetic response","Universal preference rule; objective superiority of simplicity","Bibliographic citation only"
F4,evidence,03:30,"End of Web Design",Jakob Nielsen / Nielsen Norman Group,2000-07-22,https://www.nngroup.com/articles/end-of-web-design/,2026-09-12,reachable,"Users expect familiar interaction patterns and transfer learning from other sites","One mandatory visual style; universal psychological law","Link/attribution only"
F5,evidence,03:30,"The Importance of Responsive Logo Design Across a Wide Range of Devices on the Web","Mihajlović; Gajić; Stanković; Tair",2016,https://portal.sinteza.singidunum.ac.rs/paper/396,2026-09-12,reachable,"Responsive variants may remove detail to preserve clarity across device sizes","Mobile caused minimalist rebranding; all identities converge","Bibliographic citation only"
F6,evidence_and_counterexample,04:45,"McDonald's History",McDonald's Corporation,undated,https://corporate.mcdonalds.com/corpmcd/our-company/who-we-are/our-history.html,2026-09-12,reachable,"1953 Red and White attention-catching design; late-1960s replacement; 1969 Mansard introduction; later local adaptation","All chains or locations converged; prevalence outside this company chronology","Company-authored source; link/attribution only"
F7,evidence,06:04,"Algorithmic Balancing of Familiarity, Similarity, & Discovery in Music Recommendations",Spotify Research / Mehrotra et al.,2021-11-05,https://research.atspotify.com/publications/algorithmic-balancing-of-familiarity-similarity-discovery-in-music-recommendations,2026-09-12,reachable,"Music recommenders balance familiarity similarity and discovery","Spotify proves visual convergence; algorithms seek cultural homogenization","Link/attribution only"
CE1,counterexample,07:19,"Material Design 3 — Color",Google,undated,https://m3.material.io/styles/color/overview,2026-09-12,"reachable via redirect from developer.android.com","A documented usable design-system colour approach exists","Comparative performance or prevalence","Link/attribution only"
CE2,counterexample,07:19,"Carbon Design System — Color",IBM,undated,https://carbondesignsystem.com/elements/color/overview/,2026-09-12,reachable,"A distinct documented usable design-system colour approach exists","Comparative performance or prevalence","Link/attribution only"
CE3,counterexample,07:19,"Golden Hour: the creation of a Paint-to-Sample 911 GT3",Porsche Newsroom,2022,https://newsroom.porsche.com/en/2022/products/porsche-911-gt3-paint-to-sample-porsche-exclusive-manufaktur-27832.html,2026-09-12,reachable,"Bespoke paint feasibility and production exist as a premium niche case","Market-wide frequency or automatic premium for distinctiveness","First-party case; link/attribution only"
