take,residual_seconds,proposed_action,canonical_text,provisional_candidate,editorial_rationale,status
T023,1.092,SURGICAL_REWRITE,"That distinction—between being loved and avoiding rejection—appears far beyond cars.","Avoiding rejection, rather than earning love, appears far beyond cars.",Preserves the love-versus-rejection distinction with fewer syllables,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T027,0.631,SURGICAL_REWRITE,"Complexity can create interest, identity, and meaning. Familiarity can also become boredom.","Complexity creates interest, identity, and meaning. Familiarity can become boredom.",Removes hedging only where the sentence states possibilities rather than universal causality,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T037,0.635,SURGICAL_REWRITE,"Navigation should not demand a tutorial. Familiar patterns make digital services faster and more accessible.","Navigation should need no tutorial. Familiar patterns can make digital services faster and more accessible.",Shortens the first clause while retaining probabilistic wording in the mechanism claim,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T041,1.559,SURGICAL_REWRITE,"Logos face a related pressure. They must remain clear across phones, watches, browser tabs, packaging, video, and physical signs.","Logos face similar pressure: stay clear on phones, watches, browser tabs, packaging, video, and signs.",Preserves the cross-format legibility claim and removes redundant phrasing,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T045,0.940,SURGICAL_REWRITE,"The company’s own history describes the red-and-white tiled building, created in 1953, as an attention-getting design.","McDonald’s history calls its 1953 red-and-white tiled building an attention-getting design.",Preserves source attribution date design and bounded company-authored status,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T049,0.747,SURGICAL_REWRITE,"McDonald’s itself highlights contemporary locations that use existing architecture and distinctive local features.","McDonald’s highlights newer locations using existing architecture and distinctive local features.",Preserves the company-authored existence-case claim without implying prevalence,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T052,1.278,SURGICAL_REWRITE,"A repeatable system must adapt to different plots, regulations, contractors, climates, maintenance schedules, and customer expectations.","A repeatable system must adapt across plots, rules, contractors, climates, maintenance, and customer expectations.",Compresses list wording without changing the adaptation mechanism,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T058,0.726,SURGICAL_REWRITE,"One designer chooses a familiar typeface. One café recreates a photogenic interior.","A designer chooses familiar type. A café recreates a photogenic interior.",Preserves two illustrative decentralized choices,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T061,0.043,EDITORIAL_WINDOW_REVIEW,"No single choice transforms culture. Each becomes evidence for the next.",,Residual is below the retained 100 ms safety margin; do not rewrite before verifying a 43 ms window adjustment is semantically safe,PROVISIONAL_NO_CHANGE
T062,0.742,SURGICAL_REWRITE,"Recommendation systems make this tension explicit. Spotify researchers describe balancing familiarity and similarity against discovery.","Recommendation systems expose this tension: Spotify researchers describe balancing familiarity and similarity with discovery.",Preserves the bounded Spotify trade-off and avoids causality inflation,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T063,0.260,SURGICAL_REWRITE,"The platform does not simply maximize sameness; it manages competing objectives.","The platform does not maximize sameness; it balances competing objectives.",Preserves the counterclaim against a one-objective sameness model,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T064,0.691,SURGICAL_REWRITE,"Algorithms did not invent visual convergence. They can accelerate a loop that already exists: what is familiar is easier to recognize; what is easier to recognize is easier to choose; what is chosen becomes easier to measure; and what is measured becomes easier to imitate.","Algorithms did not invent visual convergence. They can accelerate the loop: what is familiar is easier to recognize; what is easier to recognize is easier to choose; what is chosen becomes easier to measure; what is measured becomes easier to imitate.",Removes redundant words while retaining the documentary's explicitly synthetic loop,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T082,0.995,SURGICAL_REWRITE,"Not because everything is the same. Because across the cases we have seen, design happens inside systems that reward legibility, familiarity, adaptability, and measurable performance.","Not because everything is the same. Across these cases, design happens inside systems rewarding legibility, familiarity, adaptability, and measurable performance.",Preserves the bounded case-linked conclusion and its four mechanisms,PROVISIONAL_REQUIRES_FACT_AND_LISTENING_REVIEW
T088,0.066,EDITORIAL_WINDOW_REVIEW,"Personality requires an argument. It may cost more, divide opinion, age badly, or fail.",,Residual is below the retained 100 ms safety margin; do not rewrite before verifying a 66 ms window adjustment is semantically safe,PROVISIONAL_NO_CHANGE
