take,action,source_pass,speed,slot_seconds,safe_seconds,headroom_seconds,borrowed_seconds,borrowed_from,text,wav_seconds,sha256,status
T023,SURGICAL_REWRITE,surgical_v1.1,1.09,4.308,4.13,0.178,0.0,,Avoiding rejection rather than earning love appears beyond cars.,4.825,ec498dad53e08af2378abd7f21571a26cc2d12ec8f087277a082c842ca8aa15b,PASS_TIMING_ONLY
T025,SURGICAL_REWRITE,surgical_v1.0,1.03,8.367,8.19,0.177,0.0,,"Research suggests familiar forms, clear contrast, and repeated exposure may ease processing and influence preference.",8.975,1f92f6a81b0c86b9ac937218852d85cf6bb0956e7a1548817a1ba1b2f107dd49,PASS_TIMING_ONLY
T027,SURGICAL_REWRITE,surgical_v1.1,1.0,5.099,4.85,0.249,0.0,,Complexity creates interest and identity; familiarity can become boredom.,5.75,aeba84614c069749e150f54cb02c9d0ab6b91ad6ee4a28c7c07ba1a47fc3bd1a,PASS_TIMING_ONLY
T037,SURGICAL_REWRITE,surgical_v1.1,1.15,6.135,5.96,0.175,0.0,,Navigation needs no tutorial. Familiar patterns can improve digital speed and accessibility.,6.75,79685225a75cb57413e4c3e026b12e2c511988e7696430f07d7844814787d666,PASS_TIMING_ONLY
T041,SURGICAL_REWRITE,surgical_v1.0,1.09,6.961,6.53,0.431,0.0,,"Logos face similar pressure: stay clear on phones, watches, browser tabs, packaging, video, and signs.",7.475,e1d76d48efb952c07de4b45ad9efb8e778340c62c0c4c8811dd7c1ab563485db,PASS_TIMING_ONLY
T045,SURGICAL_REWRITE,surgical_v1.0,1.12,6.76,6.64,0.12,0.0,,McDonald's history calls its 1953 red-and-white tiled building an attention-getting design.,7.5,a89011a06bf7d3591e8136d1d21472f6707eff518c700ffe63980e4eab9fad4d,PASS_TIMING_ONLY
T049,SURGICAL_REWRITE,surgical_v1.0,1.0,6.653,6.48,0.173,0.0,,McDonald's highlights newer locations using existing architecture and distinctive local features.,7.275,73ded8cbc90660cfd6e8b54ef160321e10125163e0466173cac6269b5e812671,PASS_TIMING_ONLY
T052,SURGICAL_REWRITE,surgical_v1.0,1.15,7.252,7.07,0.182,0.0,,"A repeatable system must adapt across plots, rules, contractors, climates, maintenance, and customer expectations.",7.95,13e5c116dea712e5eae82184969dd1d0333f13916be6d80641b59b3f9c7fc7d5,PASS_TIMING_ONLY
T058,SURGICAL_REWRITE,surgical_v1.0,1.15,5.054,4.88,0.174,0.0,,A designer chooses familiar type. A café recreates a photogenic interior.,5.65,b1b885d92357824bd46d2fe46dfbcaf7667a0d546fcff9a6c007f70b2ab1cbe4,PASS_TIMING_ONLY
T061,EDITORIAL_BOUNDARY_TRANSFER,adaptive_original,1.15,4.42,,0.1,0.043,T062,No single choice transforms culture. Each becomes evidence for the next.,5.0,5c38ec2d4e69d938c7f3b3f4e12cebc0011d96460e2572636900126525320155,PASS_TIMING_ONLY
T062,SURGICAL_REWRITE,surgical_v1.1,1.0,8.198,7.19,1.008,0.0,,"Spotify researchers describe recommendation systems balancing familiarity, similarity, and discovery.",8.075,ac05087eb0ac56ab2c010157aed05e0d578c5916a493c641e420f1534a6b6c01,PASS_TIMING_ONLY
T063,SURGICAL_REWRITE,surgical_v1.0,1.12,4.87,4.75,0.12,0.0,,The platform does not maximize sameness; it balances competing objectives.,5.425,d7509b920ae4672aaecc21d7017aeec9520ca066a3c445fe9617b4531c68ea97,PASS_TIMING_ONLY
T064,SURGICAL_REWRITE,surgical_v1.0,1.0,16.519,15.05,1.469,0.0,,Algorithms did not invent visual convergence. They can accelerate the loop: familiar things are easier to recognize; recognition eases choice; choices are easier to measure; and what is measured is easier to imitate.,15.975,981e5405392ee71b63c997de967d4f55d46ba2ea74b90c516de31b0f9265e959,PASS_TIMING_ONLY
T065,SURGICAL_REWRITE,surgical_v1.0,1.09,2.836,2.7,0.136,0.0,,"This is our model, not Spotify's finding.",3.525,14edd8da9159a3c02e12571b43efc0869ccb17aa19a1e93e36787f08abd8d82c,PASS_TIMING_ONLY
T074,EDITORIAL_BOUNDARY_TRANSFER,adaptive_original,1.15,3.83,,0.1,0.056,T075,A colorful car becomes memorable because the road is neutral.,4.5,4bce48087df7cbac64983c6646b3f2c0ae0c3a1de66d5e7c226c913a1e85e95f,PASS_TIMING_ONLY
T082,SURGICAL_REWRITE,surgical_v1.0,1.15,11.115,10.7,0.415,0.0,,"Not because everything is the same. Across these cases, design happens inside systems rewarding legibility, familiarity, adaptability, and measurable performance.",11.375,d864ab002d30a0e7f8ca1416f525992fb8b6af535117a9c26f1ef0b45ec99381,PASS_TIMING_ONLY
T088,EDITORIAL_BOUNDARY_TRANSFER,adaptive_original,1.15,6.06,,0.1,0.066,T089,"Personality requires an argument. It may cost more, divide opinion, age badly, or fail.",6.75,73a8de1c050850f133668f74ba54c4e85191ebd4f6b36b0d58d7f93369e2cf4e,PASS_TIMING_ONLY
